"AREA","ESPEC_NUM","ESPEC_FULL","","","","","","","","","","","","","","","","","","","","","","",""
"Ciutadana","1","Analitzar i comprendre idees relatives a la dimensió social i ciutadana de la seva pròpia identitat, així com als fets socials, històrics i normatius que la determinen, demostrant respecte per les normes, empatia, equitat i esperit constructiu en la interacció amb els altres en diferents contextos socioinstitucionals.","Analitzar i comprendre idees relatives a la dimensió social i ciutadana de la seva pròpia identitat.","3ESO","Proposar accions que promoguin relacions de convivència amb totes les persones i grups socials, tant de l’entorn proper com de l’àmbit global.","Proposar accions que promoguin relacions de convivència amb totes les persones i grups socials.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","1","Analitzar i comprendre idees relatives a la dimensió social i ciutadana de la seva pròpia identitat, així com als fets socials, històrics i normatius que la determinen, demostrant respecte per les normes, empatia, equitat i esperit constructiu en la interacció amb els altres en diferents contextos socioinstitucionals.","Analitzar i comprendre idees relatives a la dimensió social i ciutadana de la seva pròpia identitat.","4ESO","Proposar accions que promoguin relacions de convivència amb totes les persones i grups socials, tant de l’entorn proper com de l’àmbit global.","Proposar accions que promoguin relacions de convivència amb totes les persones i grups socials.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","1ESO","Esquematitzar els trets bàsics de l’organització social, política i econòmica d’algunes societats europees, valorant de manera crítica el grau d’equitat en els intercanvis i les relacions amb altres països o pobles.","Esquematitzar els trets bàsics de l’organització social.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","2ESO","Esquematitzar els trets bàsics de l’organització social, política i econòmica d’algunes societats europees, valorant de manera crítica el grau d’equitat en els intercanvis i les relacions amb altres països o pobles.","Esquematitzar els trets bàsics de l’organització social.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","3ESO","Caracteritzar els mecanismes dels estats per garantir l’accés equitatiu als serveis públics dels ciutadans i ciutadanes amb l’objectiu de reduir les desigualtats i assegurar una vida digna per a tothom.","Caracteritzar els mecanismes dels estats per garantir l’accés equitatiu als serveis públics dels ciutadans i ciutadanes amb l’objectiu.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","4ESO","Caracteritzar els mecanismes dels estats per garantir l’accés equitatiu als serveis públics dels ciutadans i ciutadanes amb l’objectiu de reduir les desigualtats i assegurar una vida digna per a tothom.","Caracteritzar els mecanismes dels estats per garantir l’accés equitatiu als serveis públics dels ciutadans i ciutadanes amb l’objectiu.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","1ESO","Participar activament en l’organització i desenvolupament de projectes de l’entorn que integrin la capacitat per treballar en equip, la presa de decisions consensuades, la comunicació efectiva i la resolució de problemes.","Participar activament en l’organització i desenvolupament de projectes de l’entorn que integrin la capacitat per treballar en equip.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","2ESO","Participar activament en l’organització i desenvolupament de projectes de l’entorn que integrin la capacitat per treballar en equip, la presa de decisions consensuades, la comunicació efectiva i la resolució de problemes.","Participar activament en l’organització i desenvolupament de projectes de l’entorn que integrin la capacitat per treballar en equip.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","3ESO","Participar de manera activa i compromesa en l’organització i desenvolupament de projectes comunitaris, que fomentin la reflexió crítica i la millora de les habilitats socials necessàries per treballar en equip i contribuir a la construcció d’una societat més lliure, justa, equitativa i cohesionada.","Participar de manera activa i compromesa en l’organització i desenvolupament de projectes comunitaris.","","","","","","","","","","","","","","","","","","",""
"Ciutadana","2","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu, de l’ordenament jurídic de l’Estat espanyol i de Catalunya i dels drets humans i de l’infant, participant en activitats comunitàries, com la presa de decisions o la resolució de conflictes, amb actitud democràtica, respecte per la diversitat, i compromís amb la igualtat de gènere, la cohesió social, el desenvolupament sostenible i l’assoliment de la ciutadania mundial.","Analitzar i assumir amb fonament els principis i valors que emanen del procés d’integració europeu.","4ESO","Participar de manera activa i compromesa en l’organització i desenvolupament de projectes comunitaris, que fomentin la reflexió crítica i la millora de les habilitats socials necessàries per treballar en equip i contribuir a la construcció d’una societat més lliure, justa, equitativa i cohesionada.","Participar de manera activa i compromesa en l’organització i desenvolupament de projectes comunitaris.","","","","","","","","","","","","","","","","","","",""
