"SABER_FULL","SABER_SHORT","","PI · Helena Nito del Bosque","","","","","","","","","","","","","","","","","","","","","",""
"Coneixement i ús d'extensions i complements (correctors ortogràfics, capturadors i gravadors de pantalla, accessibilitat, seguretat, etc.).","Coneixement i ús d'extensions i complements .","","","","","","","","","","","","","","","","","","","","","","","",""
"Configuració de wifis segures a través de simuladors.","Configuració de wifis segures.","","","","","","","","","","","","","","","","","","","","","","","",""
"Consulta i restauració de versions de l'historial de canvis del document","Consulta i restauració de versions de l'historial de canvis del document.","","","","","","","","","","","","","","","","","","","","","","","",""
"Conversió de documents a diferents formats (PDF, .docx, .odt...).","Conversió de documents a diferents formats .","","","","","","","","","","","","","","","","","","","","","","","",""
"Criteri responsable i sentit crític sobre la informació de notícies.","Criteri responsable i sentit crític sobre la informació de notícies.","","","","","","","","","","","","","","","","","","","","","","","",""
"Disseny d'interfícies d'usuari amb criteris d'accessibilitat i responsius en el disseny de les aplicacions.","Disseny d'interfícies d'usuari amb criteris d'accessibilitat i responsius en el disseny de les aplicacions.","","","","","","","","","","","","","","","","","","","","","","","",""
"Exportació i publicació de vídeo i d'àudio.","Exportació i publicació de vídeo i d'àudio.","","","","","","","","","","","","","","","","","","","","","","","",""
"Gestió de l'historial de cerques per internet.","Gestió de l'historial de cerques per internet.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació de ciberdelictes (ciberbullying, smishing -pesca per SMS-, sèxting...).","Identificació de ciberdelictes .","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació de l'aportació de les tecnologies al benestar.","Identificació de l'aportació de les tecnologies al benestar.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació de missatges de correu electrònic sospitosos que intenten obtenir informació sensible o que poden contenir programes maliciosos (pesca de credencials, virus...).","Identificació de missatges de correu electrònic sospitosos que intenten obtenir informació sensible o que poden contenir.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació de recursos d'ajuda en cas d'addicció.","Identificació de recursos d'ajuda en cas d'addicció.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació de riscos i amenaces en la navegació de llocs web (https, descàrregues malicioses...).","Identificació de riscos i amenaces en la navegació de llocs web .","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació dels diferents aspectes subjectius que constitueixen la identitat digital  i la fan evolucionar (intenció pròpia, percepció dels altres, interaccions...).","Identificació dels diferents aspectes subjectius que constitueixen la identitat digital i la fan evolucionar .","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació dels drets en el tractament de dades personals (accés, rectificació, supressió i oposició) i les polítiques de privacitat.","Identificació dels drets en el tractament de dades personals  i les polítiques de privacitat.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació dels elements que construeixen perfils automàtics comercials (historial de navegació, reaccions a les publicacions, seguiment d'enllaços...).","Identificació dels elements que construeixen perfils automàtics comercials .","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació i prevenció de conductes addictives.","Identificació i prevenció de conductes addictives.","","","","","","","","","","","","","","","","","","","","","","","",""
"Identificació i resolució de problemes tècnics comuns derivats de la manipulació de dispositius i ús d'entorns digitals (problemes de connectivitat, accés a plataformes amb contrasenya, problemes en la navegació, accessibilitat, configuració bàsica del sistema, etc.).","Identificació i resolució de problemes tècnics comuns derivats de la manipulació de dispositius i ús d'entorns.","","","","","","","","","","","","","","","","","","","","","","","",""
